"ID","Bolum","Universite","Sehir","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"53","Bilgisayar Mühendisligi","KOÇ  ÜNİVERSİTESİ (İSTANBUL)-İ-B","İstanbul","0.000","0.000","0.000","0.000","368.466","371.958","373.252","362.467","368.379","363.912","515.000","538.464"
"54","Bilgisayar Mühendisligi","MALTEPE  ÜNİVERSİTESİ (İSTANBUL)","İstanbul","154.740","161.302","0.000","143.194","243.257","279.500","284.933","294.933","257.912","238.974","0.000","0.000"
"55","Bilgisayar Mühendisligi","MALTEPE  ÜNİVERSİTESİ (İSTANBUL)-B","İstanbul","0.000","0.000","0.000","0.000","344.452","343.340","346.425","319.147","304.627","323.862","437.000","456.059"
"56","Bilgisayar Mühendisligi","MARMARA ÜNİVERSİTESİ (İSTANBUL)-İ","İstanbul","0.000","0.000","0.000","0.000","360.007","359.597","360.069","343.230","352.117","343.998","464.000","492.587"
"57","Bilgisayar Mühendisligi","MERS›N ÜNİVERSİTESİ","Mersin","0.000","0.000","0.000","0.000","341.935","340.679","345.111","0.000","0.000","0.000","0.000","0.000"
"58","Bilgisayar Mühendisligi","OKAN ÜNİVERSİTESİ","İstanbul","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"59","Bilgisayar Mühendisligi","OKAN ÜNİVERSİTESİ-B","İstanbul","0.000","0.000","0.000","0.000","0.000","0.000","0.000","311.429","0.000","0.000","0.000","445.980"
"60","Bilgisayar Mühendisligi","OKAN ÜNİVERSİTESİ-B50","İstanbul","0.000","0.000","0.000","0.000","0.000","0.000","0.000","281.520","0.000","0.000","0.000","313.301"
"61","Bilgisayar Mühendisligi","ORTA DOĞU TEKNİK ÜNİVERSİTESİ (ANKARA)","Ankara","0.000","0.000","0.000","0.000","368.227","369.692","370.648","359.295","365.892","359.519","506.000","528.867"
"62","Bilgisayar Mühendisligi","OSMANGAZİ  ÜNİVERSİTESİ (ESK›fiEH›R)","Eskişehir","0.000","0.000","0.000","0.000","347.535","345.948","349.723","329.748","344.844","336.642","440.000","468.220"
"63","Bilgisayar Mühendisligi","PAMUKKALE  ÜNİVERSİTESİ (DEN›ZL›)","Denizli","0.000","0.000","0.000","0.000","340.816","339.633","344.039","320.311","338.841","329.072","422.000","442.210"
"64","Bilgisayar Mühendisligi","SAKARYA  ÜNİVERSİTESİ","Sakarya","0.000","0.000","0.000","201.536","342.176","341.120","345.605","321.708","339.881","331.297","422.000","448.277"
"65","Bilgisayar Mühendisligi","SAKARYA  ÜNİVERSİTESİ-İO","Sakarya","0.000","0.000","0.000","0.000","0.000","0.000","0.000","314.907","334.280","322.632","379.000","414.736"
"66","Bilgisayar Mühendisligi","SELÇUK  ÜNİVERSİTESİ (KONYA)","Konya","0.000","0.000","0.000","0.000","343.235","342.083","346.726","346.726","339.370","331.137","421.000","448.311"
"67","Bilgisayar Mühendisligi","SÜLEYMAN DEMİREL ÜNİVERSİTESİ (ISPARTA)","Isparta","0.000","0.000","0.000","0.000","0.000","0.000","0.000","314.874","336.597","326.890","407.000","431.917"
"68","Bilgisayar Mühendisligi","TOBB  ÜNİVERSİTESİ","Ankara","0.000","0.000","0.000","0.000","0.000","0.000","334.730","303.215","323.825","302.778","345.000","375.673"
"69","Bilgisayar Mühendisligi","TOBB  ÜNİVERSİTESİ-B","Ankara","0.000","0.000","0.000","0.000","0.000","0.000","36.612","355.657","363.486","355.301","483.000","521.184"
"70","Bilgisayar Mühendisligi","TRAKYA  ÜNİVERSİTESİ (ED›RNE)","Edirne","0.000","0.000","0.000","0.000","340.026","338.717","342.296","314.891","334.474","323.560","400.000","423.784"
"71","Bilgisayar Mühendisligi","YAŞAR  ÜNİVERSİTESİ (İZMİR)","İzmir","0.000","0.000","0.000","0.000","268.722","292.024","0.000","0.000","272.479","265.363","229.000","229.000"
"72","Bilgisayar Mühendisligi","YAŞAR  ÜNİVERSİTESİ (İZMİR)-B50","İzmir","0.000","0.000","0.000","0.000","332.328","347.447","0.000","301.195","323.506","309.589","432.000","462.369"
"73","Bilgisayar Mühendisligi","YEDİTEPE  ÜNİVERSİTESİ (İSTANBUL)","İstanbul","172.317","0.000","183.218","0.000","309.045","310.068","317.063","257.466","282.991","270.016","239.000","239.000"
"74","Bilgisayar Mühendisligi","YEDİTEPE  ÜNİVERSİTESİ (İSTANBUL)-B","İstanbul","0.000","207.609","0.000","178.300","360.060","362.174","362.528","326.870","345.834","340.414","460.000","490.512"
"75","Bilgisayar Mühendisligi","YILDIZ TEKN›K ÜNİVERSİTESİ (İSTANBUL)","İstanbul","0.000","0.000","0.000","0.000","358.986","358.454","359.512","342.072","351.625","343.988","464.000","500.228"
"76","Bilgisayar Mühendisligi","DOÐU AKDENİZ  ÜNİVERSİTESİ (KKTC-GAZİMAGUSA)","Kktc","0.000","0.000","0.000","0.000","0.000","257.126","270.834","270.834","278.834","264.548","220.000","220.000"
"77","Bilgisayar Mühendisligi","DOÐU AKDENİZ  ÜNİVERSİTESİ (KKTC-GAZİMAGUSA)-B","Kktc","0.000","0.000","0.000","0.000","336.181","332.280","323.806","299.489","322.745","307.971","409.000","457.219"
"78","Bilgisayar Mühendisligi","GÝRNE AMERİKAN  ÜNİVERSİTESİ (KKTC-GİRNE)","Kktc","0.000","0.000","0.000","0.000","0.000","0.000","263.379","263.379","297.907","284.588","0.000","0.000"
"79","Bilgisayar Mühendisligi","GİRNE AMERİKAN  ÜNİVERSİTESİ (KKTC-GİRNE)-B50","Kktc","0.000","0.000","0.000","125.627","256.783","280.611","309.167","279.393","285.548","258.441","0.000","262.195"
"80","Bilgisayar Mühendisligi","LEFKE AVRUPA  ÜNİVERSİTESİ (KKTC-LEFKE)","Kktc","0.000","0.000","0.000","0.000","0.000","259.937","287.035","287.035","316.166","302.774","353.000","352.000"
"81","Bilgisayar Mühendisligi","ULUSLARARASI KIBRIS  ÜNİVERSİTESİ (KKTC-LEFKOŞA)","Kktc","0.000","0.000","0.000","0.000","0.000","0.000","270.798","270.798","270.798","270.798","0.000","0.000"
"82","Bilgisayar Mühendisligi","ULUSLARARASI KIBRIS  ÜNİVERSİTESİ (KKTC-LEFKOŞA)-B","Kktc","190.525","193.419","193.160","0.000","220.620","276.593","309.457","273.666","296.657","282.588","247.000","0.000"
"83","Bilgisayar Mühendisligi","YAKIN DOĞU  ÜNİVERSİTESİ (KKTC-LEFKOŞA)","Kktc","0.000","0.000","0.000","0.000","0.000","254.318","265.649","265.649","280.477","260.478","0.000","0.000"
"84","Bilgisayar Mühendisligi","YAKIN DOĞU  ÜNİVERSİTESİ (KKTC-LEFKOŞA)-B","Kktc","0.000","0.000","156.702","0.000","324.402","325.495","328.776","294.465","321.778","304.911","0.000","0.000"
"85","Tıp Fakültesi","ABANT İZZET BAYSAL ÜNİVERSİTESİ (BOLU)","Bolu","0.000","0.000","0.000","0.000","348.718","350.851","356.232","341.681","355.225","351.435","473.000","521.900"
"86","Tıp Fakültesi","ADNAN MENDERES ÜNİVERSİTESİ (AYDIN)","Aydın","0.000","0.000","0.000","0.000","349.817","351.657","356.416","341.779","355.160","350.776","476.000","520.614"
"87","Tıp Fakültesi","AFYON KOCATEPE ÜNİVERSİTESİ","Afyon","0.000","0.000","0.000","0.000","348.357","350.037","355.392","269.698","354.190","349.679","474.000","517.151"
"88","Tıp Fakültesi","AKDEN›Z ÜNİVERSİTESİ (ANTALYA)","Antalya","0.000","0.000","0.000","0.000","354.126","355.760","360.489","347.563","358.422","355.551","487.000","528.771"
"89","Tıp Fakültesi","ANKARA ÜNİVERSİTESİ","Ankara","0.000","0.000","0.000","0.000","361.123","363.344","367.346","356.823","365.600","362.737","510.000","541.595"
"90","Tıp Fakültesi","ATAT‹RK ÜNİVERSİTESİ (ERZURUM)","Erzurum","0.000","0.000","0.000","0.000","348.078","349.714","354.610","339.431","353.517","348.682","474.000","515.775"
"91","Tıp Fakültesi","BAŞKENT  ÜNİVERSİTESİ (ANKARA)","Ankara","198.516","199.305","197.522","200.424","345.185","348.040","353.372","336.283","351.236","342.913","473.000","507.693"
"92","Tıp Fakültesi","BAŞKENT  ÜNİVERSİTESİ (ANKARA)-B","Ankara","0.000","0.000","0.000","0.000","358.815","361.003","364.805","352.937","356.282","354.788","0.000","533.060"
"93","Tıp Fakültesi","CELAL BAYAR ÜNİVERSİTESİ (MANİSA)","Manisa","0.000","0.000","0.000","0.000","351.403","352.651","357.401","343.301","356.008","352.133","482.000","523.470"
"94","Tıp Fakültesi","CUMHURİYET ÜNİVERSİTESİ (S›VAS)","Sivas","0.000","0.000","0.000","0.000","347.212","348.682","353.856","338.007","352.949","347.934","467.000","514.466"
"95","Tıp Fakültesi","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","Çanakkale","0.000","0.000","0.000","0.000","353.867","356.677","362.076","349.832","358.302","353.838","487.000","524.388"
"96","Tıp Fakültesi","ÇUKUROVA ÜNİVERSİTESİ (ADANA)","Adana","0.000","0.000","0.000","0.000","355.449","357.325","361.267","348.756","359.607","356.488","484.000","529.931"
"97","Tıp Fakültesi","DİCLE ÜNİVERSİTESİ (D›YARBAKIR)","Diyarbakır","0.000","0.000","0.000","0.000","349.000","350.909","355.541","339.896","354.110","350.531","482.000","520.443"
"98","Tıp Fakültesi","DOKUZ EYLÜL ÜNİVERSİTESİ (İZMİR)","İzmir","0.000","208.820","0.000","0.000","356.006","357.913","362.353","350.377","360.521","357.734","498.000","534.758"
"99","Tıp Fakültesi","DÜZCE ÜNİVERSİTESİ","Düzce","0.000","0.000","0.000","0.000","347.962","349.557","354.683","339.292","353.625","349.384","474.000","516.701"
"100","Tıp Fakültesi","EGE ÜNİVERSİTESİ (İZMİR)","İzmir","0.000","0.000","0.000","0.000","356.857","358.574","363.144","351.654","361.520","359.961","503.000","537.639"
"101","Tıp Fakültesi","ERCİYES ÜNİVERSİTESİ (KAYSERİ)","Kayseri","0.000","0.000","0.000","0.000","350.378","352.445","357.657","344.512","356.983","352.874","469.000","523.880"
"102","Tıp Fakültesi","FIRAT ÜNİVERSİTESİ (ELAZIĞ)","Elazığ","0.000","0.000","0.000","0.000","347.637","349.169","354.241","338.639","353.223","348.690","460.000","515.091"
"103","Tıp Fakültesi","GAZİ  ÜNİVERSİTESİ (ANKARA","Ankara","0.000","0.000","0.000","212.406","358.825","361.558","365.231","354.033","363.299","359.835","513.000","537.028"
